Alpha3,Country,5Y CDS,EIU Banking Risk,CPI,Currency 3M Volatility,Currency REER,Equity,External Debt,EIU Political Risk,Trade Balance,Unemployment
ITA,Italy,ITALY CDS USD SR 5Y CBGN Curncy,EIBAITAL Index,EHPIITY Index,EURUSDH3M CURNCY,BISBITN Index,FTSEMIB Index,WDTLITAL Index,EIPRITAL Index,EHUPIT Index,
,,,,,,,,,,,
JPN,Japan,JGB CDS USD SR 5Y CBGN Curncy,EIBAJAPA Index,EHPIJPY Index,USDJPYH3M Curncy,BISBJPR Index,NKY Index,WDTLJAPA Index,EIPRJAPA Index,IUERJPN Index,
,,,,,,,,,,,
KEN,Kenya,,EIBAKENY Index,EHPIKEY Index,USDKESH3M BGN Curncy,,KNSMIDX Index,WBEDKEN  Index,EIPRKENY Index,,
,,,,,,,,,,,
MYS,Malaysia,MALAYS CDS USD SR 5Y CBGN Curncy,EIBAMALY Index,EHPIMYY Index,USDMYRH3M BGN Curncy,BISBMYR  Index,FBMKLCI Index,WDTLMALY Index,EIPRMALY Index,MAEPRATE Index,
,,,,,,,,,,,
MEX,Mexico,MEX CDS USD SR 5Y CBGN Curncy,EIBAMEXI Index,EHPIMXY Index,USDMXNH3M BGN Curncy,BISBMXR  Index,MEXBOL Index,WDTLMEXI Index,EIPRMEXI Index,MXUERATE Index,
,,,,,,,,,,,
MAR,Morocco,MOROC CDS USD SR 5Y MSG1 Curncy,EIBAMORO Index,WBPIMAR Index,,686.028 Index,MOSENEW Index,WBEDMAR Index,EIPRMORO Index,IUERMAR Index,
,,,,,,,,,,,
NZL,New Zealand,NZ CDS USD SR 5Y MSG1 Curncy,EIBANEW Index,EHPINZY Index,USNDH3M Curncy,BISBNZR Index,NZSE Index,,EIPRNEW Index,IUERNZL Index,
,,,,,,,,,,,
NGA,Nigeria,NGEODD CDS USD SR 5Y CBGN Curncy,EIBANIGE Index,EHPINGY Index,USDNGNH3M Curncy,694.028 Index,NGSEINDX Index,WBEDNGA Index,EIPRNIGE Index,NGUETOTL Index,
,,,,,,,,,,,
NOR,Norway,NORWAY CDS USD SR 5Y CBGN Curncy,EIBANORW Index,EHPINOY Index,EURNOKH3M Curncy,BISBNOR Index,OBX Index,WDTLNORW Index,EIPRNORW Index,IUERNOR Index,
,,,,,,,,,,,
PAN,Panama,PANAMA CDS USD SR 5Y CBGN Curncy,EIBAPANA Index,EHPIPAY Index,EURUSDH3M Curncy,BISBUSR Index,BVPSBVPS Index,WBEDPAN  Index,EIPRPANA Index,2836689 Index,
,,,,,,,,,,,
PER,Peru,PERU CDS USD SR 5Y CBGN Curncy,EIBAPERU Index,EHPIPEY Index,USDPENH3M BGN Curncy,BISBPER  Index,IGBVL Index,WDTLPERU Index,EIPRPERU Index,PRUEUER Index,
,,,,,,,,,,,
PHL,Philippines,PHILIP CDS USD SR 5Y CBGN Curncy,EIBAPHIL Index,EHPIPHY Index,USDPHPH3M BGN Curncy,BISBPHR  Index,PCOMP Index,WBEDPHL  Index,EIPRPHIL Index,PHLFUERT Index,
,,,,,,,,,,,
